Title,Company,City,Salary
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
Lab Engineer - Mechanical Engineering (School of Mechanical & Manufacturing Engineering),National Univsersity of Sciences and Technology,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
Lab Engineer - Mechanical Engineering (School of Mechanical & Manufacturing Engineering),National Univsersity of Sciences and Technology,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
Lab Engineer - Mechanical Engineering (School of Mechanical & Manufacturing Engineering),National Univsersity of Sciences and Technology,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
Lab Engineer - Mechanical Engineering (School of Mechanical & Manufacturing Engineering),National Univsersity of Sciences and Technology,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Mechanical Engineer,Catkin Engineering Sale & Services (Pvt) Ltd,Islamabad,
Lab Engineer - Mechanical Engineering (School of Mechanical & Manufacturing Engineering),National Univsersity of Sciences and Technology,Islamabad,
R&D Engineer (Mechanical ),Taraz Technologies Pvt. Ltd.,Rawalpindi,
Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Mechanical /HVAC Design Engineer,Reckon Consulting Engineers,Islamabad,
Design Automation Engineer (Mechanical),GreyBeard,Islamabad,
Engineering Manager,Veevo Tech,Islamabad,
Senior Mechanical Design Engineer,Rastgar Engineering Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Planning Engineer,Matar Al Baqmi Holding Company,Islamabad,
Electrical Design Engineer,GENESIS SOLUTIONS PVT LTD,Islamabad,
Staff Accountant (UK),LumiMinds,Lahore,
Accountant,Ranglerz Digital Marketing,Lahore,
Restaurant Accountant,Tayyib Store,Lahore,
Mid Level Accountant (Canadian experienced),Adroit Accountax Pvt Ltd,Lahore,
Accountant (Hospital Experience Preferred),Naeem Hospital Lahore,Lahore,
Accountant,Petro Seal Enterprises,Lahore,
Accountant,Canadian City Gwadar Head Office Lahore,Lahore,
Jr. Accountant,STUDY MEDIC,Lahore,
Assistant Accountant,Contour Software,Lahore,
Senior Accountant,365 Care Group,Lahore,
Senior Accountant,365 Care Group,Lahore,
Manager Accounts,Far 360 Consultancy,Lahore,
Accountant,Bestnet,Lahore,
Senior Internal Auditor,Steel Fabrication & Telecom Infrastructure...,Lahore,
Assistant Manager Accounts,Voyage,Lahore,
Accountant – UAE Branch,Simcoe IT,Lahore,
Accountant Required ( only from Lahore ( 5 to 7 KM distance from DHA PH 5),Grace Marble & Granite,Lahore,
Customer Premises Associate (CPA),HRPSP - Your Strategic HR Partner,Lahore,
Customer Premises Associate (CPA),HRPSP - Your Strategic HR Partner,Lahore,
Deputy Manager Taxation,Dynamic Packaging (Pvt) Ltd,Lahore,
Assistant Manager Taxation,Tajir,Lahore,
Accountant,AL-FAJAR INTERNATIONAL (PVT.) LIMITED,Lahore Gpo,
Full Cycle Book Keeper/Accountant,Mortgage Squad Advisors,Lahore,
Account Officer,Revolution Media,Lahore,
Accountant-Lahore (Vetcon Pharma),Vetcon Pharmaceuticals,Lahore,
Accounts and Taxation Executive,Shams & Brothers,Lahore,
Accounts Executive – Travel & Tourism,The-Hiring,Lahore Gulberg Colony,
Accountant Admin,Dejure Technologies,Lahore,
Urgently Required Junior Accountant,Sultan Tag,Lahore,
Officer- Internal Audit,Raaziq International PVT LTD,Lahore,
Senior Accountant (SEC-US Reporter),NorthBay Solutions,Lahore,
Tax Officer,Raaziq International PVT LTD,Lahore,
ACCOUNTANT,Prime Medicos,Karachi,
Accountant,Basharah Pharma,Karachi,
Accountant,Rotana Travel and tours,Karachi,
Assistant Accountant finance,Signtrade International,Karachi,
Head of Accounts (Night Shift),Careers Connect,Karachi,
Assistant Accountant,Digital Bee Studio,Karachi,
Junior Accountant,Creative Chaos,Karachi,
Accountant,United Charter School NJB Clifton Campus,Karachi,
ACCOUNTANT,mh enterprises,Karachi,
ACCOUNTANT,mh enterprises,Karachi,
Accountant,AssistRing,Drigh Colony,
Accountant,SAB,Karachi,
Assistant Accountant,BHY HOSPITAL,Karachi,
Assistant Accountant,Muller and Phipps Pakistan,Karachi,
Junior Accountant — Karachi Back Office,UEB Ventures Financing Broker L.L.C,Karachi,
Junior Accountant,Coatinks (Private) Limited,Karachi,
US Tax Accountant,ASPIRE 92 (SMC-PRIVATE) LIMITED,Karachi,
ACCOUNTANT (for US Client) Night Shift,Cognizance Solutions pvt ltd,Karachi Gulistan-E-Jouhar (Kp-2023),
Manager Financial Reporting (Night Shift),Careers Connect,Karachi,
Real Estate Accountant (U.S. GAAP),Jobs Club,Karachi,
Supervisor Accounts (International) (SA(296),SMB Services,Karachi,
Manager Finance(CA/CMA/ACCA),Joyland (Pvt) Ltd,Karachi,
Assistant Manager Internal Audit,AAI,Karachi,
Property Accountant | Accounts Management,HR Ways,Karachi,
Senior Financial Accountant,Contour Software,Karachi,
Commercial & Financial Auditor,Barqtron Engineering Solutions,Karachi,
ACCA Qualified Accountant,Luna Coffee,Karachi,
ACCA Qualified Accountant,Luna Coffee,Karachi,
Junior Account,Clixura Solution,Karachi,
US Tax Accountant,Arthur Lawrence,Karachi,
Junior Accountant - Custom Clearing Agency,Human Capital HR Solutions,Karachi,
Accounts Executive,Amron oil company (PVT) ltd,Karachi,
Accountant,Unity Exploration Pvt Ltd,Rawalpindi,
Accountant,SMS Technologies,Islamabad,
Junior Accountant,Misix Communication,Islamabad,
Accountant,BGE Limited,Islamabad,
Bookkeeper / Accountant (UK BASED FIRM),Linktax,Islamabad I-8/4,
Accountant,Ropstam Solutions Inc.,Islamabad,
Jr.Accountant,Shan Marketing Services,Islamabad,
Cashier/Jr. Accountant - Islamabad,Grand City,Islamabad,
Accountant / Client Manager,Virtual Bookkeepers 365,Islamabad,
Full Time Accountant,Faraz And Brothers,Islamabad,
Accountant for Grocery Store (Islamabad),Esajee's,Islamabad,
Accounts Interns,confidentioal,Islamabad,
Accountant,XS International,Islamabad,
Senior Accountant-UK,c2o,Islamabad,
Senior Accountant-UK,c2o,Islamabad,
Accountant Intern,Hectacore Systems,Islamabad,
Cost Accountant,Akbar Associates Group,Islamabad,
Accountant(Male),LALA Group of Companies,Rawalpindi,
Internal Auditor,Shan Marketing Services,Islamabad,
Payroll Accountant (Pakistan),Sovereign Express Trade Limited,Rawalpindi Gpo,
Accounts Executive,Flink Freight Logistics Inc,Rawalpindi,
Accounts Executive,Flink Freight Logistics Inc,Rawalpindi,
R2R Specialist,Zones,Islamabad,
Internal Audit Officer,Interwood Mobel,Islamabad,
Tax Consultant/Accountant,Islamabad Specialist Hospital,Rawalpindi,
Remote Tax Professional Resource - Project Based Jobs,BMT PRIVATE LIMITED,Rawalpindi,
Senior Accountant (SEC-US Reporter),NorthBay Solutions,Islamabad,
Accountant Intern (Female),TT Technologies pvt Ltd (PhoneCase.pk),Islamabad E-11,
Audit internship opportunity for CA and ACCA affiliates,Daxin Global,Islamabad,
Tax Manager - ISB,PEOPLE PVT LTD,Islamabad,
Tax Manager,DiLucci CPA Firm,Pakistan,
Accounting Internee (ACCA / CA Student),Effectudio,Rawalpindi,
Cost Accountant,Akbar Associates Group,Islamabad,
Accountant(Male),LALA Group of Companies,Rawalpindi,
Internal Auditor,Shan Marketing Services,Islamabad,
Payroll Accountant (Pakistan),Sovereign Express Trade Limited,Rawalpindi Gpo,
Accounts Executive,Flink Freight Logistics Inc,Rawalpindi,
Accounts Executive,Flink Freight Logistics Inc,Rawalpindi,
R2R Specialist,Zones,Islamabad,
Internal Audit Officer,Interwood Mobel,Islamabad,
Tax Consultant/Accountant,Islamabad Specialist Hospital,Rawalpindi,
Remote Tax Professional Resource - Project Based Jobs,BMT PRIVATE LIMITED,Rawalpindi,
Senior Accountant (SEC-US Reporter),NorthBay Solutions,Islamabad,
Accountant Intern (Female),TT Technologies pvt Ltd (PhoneCase.pk),Islamabad E-11,
Audit internship opportunity for CA and ACCA affiliates,Daxin Global,Islamabad,
Tax Manager - ISB,PEOPLE PVT LTD,Islamabad,
Tax Manager,DiLucci CPA Firm,Pakistan,
Accounting Internee (ACCA / CA Student),Effectudio,Rawalpindi,
Intern (Electrical Engineer),Nextreme Techno Solutions Pvt Limited,Lahore,
Electrical Engineer,Root4tech,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
BMS Engineer,Delta International PK,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Electrical Engineer (Elevators & Escalators),Milano,Lahore,
Electrical Engineer (Elevators & Escalators),Milano,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Project Engineer,MSE,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
Electronics / Application Engineer,Electrical Engineering Services,Lahore,
Engineer - Instrumentation (North),Atlas Controls (Pvt) Ltd,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
BMS Engineer,Delta International PK,Lahore,
Project Engineer,MSE,Lahore,
Internship Leading to Job – Application Engineer,Voltonic Solution Pvt. Ltd.,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
Electronics / Application Engineer,Electrical Engineering Services,Lahore,
Engineer - Instrumentation (North),Atlas Controls (Pvt) Ltd,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
BMS Engineer,Delta International PK,Lahore,
Project Engineer,MSE,Lahore,
Internship Leading to Job – Application Engineer,Voltonic Solution Pvt. Ltd.,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
Electronics / Application Engineer,Electrical Engineering Services,Lahore,
Engineer - Instrumentation (North),Atlas Controls (Pvt) Ltd,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
BMS Engineer,Delta International PK,Lahore,
Project Engineer,MSE,Lahore,
Internship Leading to Job – Application Engineer,Voltonic Solution Pvt. Ltd.,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
Electronics / Application Engineer,Electrical Engineering Services,Lahore,
Engineer - Instrumentation (North),Atlas Controls (Pvt) Ltd,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
BMS Engineer,Delta International PK,Lahore,
Project Engineer,MSE,Lahore,
Internship Leading to Job – Application Engineer,Voltonic Solution Pvt. Ltd.,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
Electronics / Application Engineer,Electrical Engineering Services,Lahore,
Engineer - Instrumentation (North),Atlas Controls (Pvt) Ltd,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
BMS Engineer,Delta International PK,Lahore,
Project Engineer,MSE,Lahore,
Internship Leading to Job – Application Engineer,Voltonic Solution Pvt. Ltd.,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Electrical Sales Engineer,S. A. Hamid & Co.,Lahore,
Technical Sales Engineer (Electrical),S.A. Hamid & Co,Lahore,
Electronics / Application Engineer,Electrical Engineering Services,Lahore,
Engineer - Instrumentation (North),Atlas Controls (Pvt) Ltd,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
Electrical Engineer Interns - G4S Digital Solutions,Qureos Inc,Lahore,
BMS Engineer,Delta International PK,Lahore,
Project Engineer,MSE,Lahore,
Internship Leading to Job – Application Engineer,Voltonic Solution Pvt. Ltd.,Lahore,
MEP Site Engineer - International Projects,Aesom Private Limited,Lahore,
Instrumentation Engineer,Avanceon MEA,Lahore,
Manager Energy Optimization,Steel Fabrication & Telecom Infrastructure...,Lahore,
Lead Design & Proposal Engineer,Avanceon MEA,Lahore,
Solar Design Engineer (SDE),PITCO,Lahore,
Solar Resident Engineer,PITCO,Lahore,
Solar DraftsMan/ PV designer,Solar PVT LTD,Lahore,
Junior Electrical Design Engineer,Welumech Consultants Pvt Ltd.,Karachi,
Electrical / Electronics Engineer,Feroze Power Limited,Karachi,
Assistant Engineer- Electrical/Electronics,International Industries Limited,Karachi,
ELECTRICAL ENGINEER,ALPHA TEA PVT LTD,Korangi,
Mid-Level Electrical Design Engineers,S. Mehboob & Co.,Karachi,
"Project Engineer (PLC/SCADA, Electrical, ATG & Site Works)",Avanceon MEA,Karachi,
Electrical Design Engineer (Solar),Exide Pakistan Limited,Karachi,
Project Engineer,Recruitech Solutions.,Karachi,
Electrical (Fresher / 1 Year Experience),Hiring Pakistan,Karachi,
Executive - Electrical & Instrumentation (E&I),AGILE HR,Korangi Creek,
Female Estimation Engineer BE Electronics/Electrical,TELECOM ENGINEERING COMPANY,Karachi,
LV Switchgear Design Engineer,PanelSketch International,Karachi,
Project Engineer,Synergy Corporation,Karachi,
Graduate Trainee Engineer – Electronics / Mechatronics (Fresh Graduates),CSR SERVICES LLC,Karachi Gulshan-E-Iqbal,
Graduate Trainee Engineer – Electronics / Mechatronics (Fresh Graduates),CSR SERVICES LLC,Karachi Gulshan-E-Iqbal,
Engineer - Instrumentation (South),Atlas Controls (Pvt) Ltd,Karachi,
Shift Engineer,Wärtsilä,Karachi,
Mechatronics Engineer,Imprint Packaging Solutions,Korangi Creek,
O&M Engineer,Goldwind Science&Technology Co.,Karachi,
BMS Engineer,Delta International PK,Karachi,
"Executive Engineer Substation Automation Systems – Pakistan, Karachi",Siemens,Karachi,
Engineer - Instrumentation (South),Atlas Controls (Pvt) Ltd,Karachi,
